Data;Partia_miesniowa;Cwiczenie;Nr_serii;Powtorzenia;Ciezar_kg;Szacowany_1RM
﻿2026-08-17;Klatka;Bench Press (Barbell);0;6;98.5;118.2
﻿2026-08-17;Klatka;Bench Press (Barbell);1;4;101.0;114.5
﻿2026-08-17;Klatka;Bench Press (Barbell);2;3;103.5;113.9
﻿2026-08-17;Klatka;Bench Press (Barbell);3;2;106.0;113.1
﻿2026-08-17;Brak kategorii;Pull Up (Weighted);0;10;5.0;6.7
﻿2026-08-17;Brak kategorii;Pull Up (Weighted);1;8;7.5;9.5
﻿2026-08-17;Brak kategorii;Pull Up (Weighted);2;7;7.5;9.2
﻿2026-08-17;Brak kategorii;Pull Up (Weighted);3;7;7.5;9.2
﻿2026-08-17;Klatka;Incline Bench Press (Smith Machine);0;7;80.0;98.7
﻿2026-08-17;Klatka;Incline Bench Press (Smith Machine);1;4;85.0;96.3
﻿2026-08-17;Klatka;Incline Bench Press (Smith Machine);2;13;64.0;91.7
﻿2026-08-17;Plecy;T Bar Row;0;10;72.5;96.7
﻿2026-08-17;Plecy;T Bar Row;1;8;77.5;98.2
﻿2026-08-17;Plecy;T Bar Row;2;15;58.25;87.4
﻿2026-08-17;Klatka;Low Cable Fly Crossovers;0;11;18.75;25.6
﻿2026-08-17;Klatka;Low Cable Fly Crossovers;1;7;20.0;24.7
﻿2026-08-17;Klatka;Low Cable Fly Crossovers;2;11;15.0;20.5
﻿2026-08-17;Plecy;Single Arm Cable Row;0;10;60.0;80.0
﻿2026-08-17;Plecy;Single Arm Cable Row;1;8;62.5;79.2
﻿2026-08-17;Plecy;Single Arm Cable Row;2;12;47.5;66.5
﻿2026-08-17;Barki;Lateral Raise (Machine);0;5;67.5;78.8
﻿2026-08-17;Barki;Lateral Raise (Machine);1;11;50.0;68.3
﻿2026-08-17;Barki;Rear Delt Reverse Fly (Machine);0;8;27.5;34.8
﻿2026-08-17;Barki;Rear Delt Reverse Fly (Machine);1;15;20.0;30.0
﻿2026-08-17;Biceps;Bicep Curl (Cable);0;7;37.5;46.2
﻿2026-08-17;Biceps;Bicep Curl (Cable);1;12;28.75;40.2
﻿2026-08-17;Triceps;Triceps Rope Pushdown;0;7;37.5;46.2
﻿2026-08-17;Triceps;Triceps Rope Pushdown;1;12;28.75;40.2
﻿2026-08-15;Nogi;Hack Squat (Machine) Kapelanka;0;10;152.0;202.7
﻿2026-08-15;Nogi;Hack Squat (Machine) Kapelanka;1;9;154.5;200.8
﻿2026-08-15;Nogi;Hack Squat (Machine) Kapelanka;2;8;157.0;198.9
﻿2026-08-15;Nogi;Leg Extension (Machine) Kapelanka;0;10;98.5;131.3
﻿2026-08-15;Nogi;Leg Extension (Machine) Kapelanka;1;10;101.0;134.7
﻿2026-08-15;Nogi;Leg Extension (Machine) Kapelanka;2;10;103.0;137.3
﻿2026-08-15;Nogi;Lying Leg Curl (Machine) Kapelanka;0;10;69.5;92.7
﻿2026-08-15;Nogi;Lying Leg Curl (Machine) Kapelanka;1;10;72.0;96.0
﻿2026-08-15;Nogi;Lying Leg Curl (Machine) Kapelanka;2;10;74.0;98.7
﻿2026-08-15;Brzuch;Hanging Leg Raise;0;20;0.0;0.0
﻿2026-08-15;Brzuch;Hanging Leg Raise;1;18;0.0;0.0
﻿2026-08-15;Brzuch;Hanging Leg Raise;2;17;0.0;0.0
﻿2026-08-15;Brzuch;Cable Crunch - Wyciąg Kapelanka - Na Podwyższeniu 15cm;0;12;46.25;64.8
﻿2026-08-15;Brzuch;Cable Crunch - Wyciąg Kapelanka - Na Podwyższeniu 15cm;1;12;46.25;64.8
﻿2026-08-15;Brzuch;Cable Crunch - Wyciąg Kapelanka - Na Podwyższeniu 15cm;2;12;46.25;64.8
﻿2026-08-14;Barki;Overhead Press (Smith Machine);0;9;70.0;91.0
﻿2026-08-14;Barki;Overhead Press (Smith Machine);1;7;75.0;92.5
﻿2026-08-14;Barki;Overhead Press (Smith Machine);2;4;80.0;90.7
﻿2026-08-14;Barki;Overhead Press (Smith Machine);3;12;60.0;84.0
﻿2026-08-14;Barki;Lateral Raise (Dumbbell);0;18;15.0;24.0
﻿2026-08-14;Barki;Lateral Raise (Dumbbell);1;12;17.5;24.5
﻿2026-08-14;Barki;Single Arm Lateral Raise (Cable);0;10;11.25;15.0
﻿2026-08-14;Barki;Single Arm Lateral Raise (Cable);1;4;12.5;14.2
﻿2026-08-14;Barki;Face Pull;0;12;35.0;49.0
﻿2026-08-14;Barki;Face Pull;1;12;35.0;49.0
﻿2026-08-14;Barki;Face Pull;2;12;36.25;50.8
﻿2026-08-14;Barki;Face Pull;3;20;28.75;47.9
﻿2026-08-14;Biceps;Preacher Curl (Machine);0;7;55.0;67.8
﻿2026-08-14;Biceps;Preacher Curl (Machine);1;6;57.5;69.0
﻿2026-08-14;Biceps;Preacher Curl (Machine);2;9;43.5;56.6
