date,weight_kg,fat_percent,neck_cm,shoulder_cm,chest_cm,left_bicep_cm,right_bicep_cm,left_forearm_cm,right_forearm_cm,abdomen_cm,waist_cm,hips_cm,left_thigh_cm,right_thigh_cm,left_calf_cm,right_calf_cm
"4 May 2026, 00:00",96.5,,,,,,,,,,,,,,,
"16 Jun 2026, 00:00",94.3,,,,,,,,,,,,,,,
"21 Jun 2026, 00:00",93.6,,,,,,,,,,,,,,,
"27 Jun 2026, 00:00",92.9,,,,,,,,,,,,,,,
"29 Jun 2026, 00:00",92.4,,,,,,,,,,,,,,,
"9 Jul 2026, 00:00",91.8,,,,,,,,,,,,,,,
"13 Jul 2026, 00:00",91.5,,,,,,,,,,,,,,,
"18 Jul 2026, 00:00",90.5,,,,,,,,,,,,,,,
"21 Jul 2026, 00:00",89.9,,,,,,,,,,,,,,,
"1 Aug 2026, 00:00",88.5,,,,,,,,,,,,,,,
"8 Aug 2026, 00:00",87.6,,,,,,,,,,,,,,,
"15 Aug 2026, 00:00",87.2,,,,,,,,,,,,,,,
"17 Aug 2026, 00:00",87,,,,,,,,,,,,,,,
"25 Aug 2026, 00:00",86.6,,,,,,,,,,,,,,,
