"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Bench Press (Barbell)",,"",0,"normal",97.5,7,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Bench Press (Barbell)",,"",1,"normal",100,5,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Bench Press (Barbell)",,"",2,"normal",102.5,4,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Bench Press (Barbell)",,"",3,"normal",105,3,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Pull Up (Weighted)",,"",0,"normal",10,10,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Pull Up (Weighted)",,"",1,"normal",12.5,7,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Pull Up (Weighted)",,"",2,"failure",15,7,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Pull Up (Weighted)",,"",3,"failure",17.5,6,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Incline Bench Press (Smith Machine)",,"Wymiana jednego powtorzenia, na jeden kilogram wiecej. Nie wiem czy to sie oplacalo.",0,"failure",81,7,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Incline Bench Press (Smith Machine)",,"Wymiana jednego powtorzenia, na jeden kilogram wiecej. Nie wiem czy to sie oplacalo.",1,"failure",86,4,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Incline Bench Press (Smith Machine)",,"Wymiana jednego powtorzenia, na jeden kilogram wiecej. Nie wiem czy to sie oplacalo.",2,"failure",68.5,11,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Seated Cable Row - Bar Wide Grip",,"",0,"normal",70,15,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Seated Cable Row - Bar Wide Grip",,"",1,"failure",77.5,12,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Seated Cable Row - Bar Wide Grip",,"",2,"failure",82.5,10,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Incline Bench Cable Flyes- Wyciąg Leżąc",,"",0,"normal",13,12,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Incline Bench Cable Flyes- Wyciąg Leżąc",,"",1,"normal",14.25,10,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Incline Bench Cable Flyes- Wyciąg Leżąc",,"",2,"failure",15.5,8,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Single Arm Cable Row Wysoko",,"",0,"normal",45,10,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Single Arm Cable Row Wysoko",,"",1,"normal",46.25,9,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Single Arm Cable Row Wysoko",,"",2,"failure",47.5,8,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Lateral Raise (Machine)",,"",0,"failure",67.5,5,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Lateral Raise (Machine)",,"",1,"failure",50,12,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",30,6,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Rear Delt Reverse Fly (Machine)",,"",1,"failure",22.5,11,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Bicep Curl (Cable)",0,"",0,"normal",30,9,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Bicep Curl (Cable)",0,"",1,"failure",30,10,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Triceps Rope Pushdown",0,"",0,"normal",38.75,6,,,
"Poniedziałek - Góra","14 Sep 2026, 18:55","14 Sep 2026, 21:31","","Triceps Rope Pushdown",0,"",1,"failure",30,11,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Hack Squat (Machine) Kapelanka",,"",0,"normal",162,10,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Hack Squat (Machine) Kapelanka",,"",1,"normal",164.5,9,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Hack Squat (Machine) Kapelanka",,"",2,"normal",167,8,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Leg Extension (Machine) Kapelanka",0,"",0,"normal",108,10,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Leg Extension (Machine) Kapelanka",0,"",1,"normal",110,10,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Leg Extension (Machine) Kapelanka",0,"",2,"normal",112.5,10,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Lying Leg Curl (Machine) Kapelanka",0,"",0,"normal",79,10,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Lying Leg Curl (Machine) Kapelanka",0,"",1,"normal",81,10,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Lying Leg Curl (Machine) Kapelanka",0,"",2,"normal",83.5,10,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Leg Raise Parallel Bars",,"",0,"normal",,21,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Leg Raise Parallel Bars",,"",1,"normal",,19,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Leg Raise Parallel Bars",,"",2,"normal",,17,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Cable Crunch - Wyciąg Kapelanka - Na Podwyższeniu 15cm",,"",0,"normal",48.25,13,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Cable Crunch - Wyciąg Kapelanka - Na Podwyższeniu 15cm",,"",1,"normal",48.75,12,,,
"Gdy brak czasu ci doskwiera, szybka sobota cię sponiewiera.","12 Sep 2026, 13:51","12 Sep 2026, 15:02","Bocian","Cable Crunch - Wyciąg Kapelanka - Na Podwyższeniu 15cm",,"",2,"normal",49.25,11,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Shoulder Press (Dumbbell)",,"",0,"normal",60,10,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Shoulder Press (Dumbbell)",,"",1,"normal",65,8,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Shoulder Press (Dumbbell)",,"",2,"normal",65,7,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Seated Lateral Raise (Dumbbell)",,"",0,"normal",20,15,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Seated Lateral Raise (Dumbbell)",,"",1,"normal",25,10,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Seated Lateral Raise (Dumbbell)",,"",2,"failure",25,12,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Rear Delt Reverse Fly (Cable)",,"",0,"normal",7.5,12,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Rear Delt Reverse Fly (Cable)",,"",1,"normal",7.5,12,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Rear Delt Reverse Fly (Cable)",,"",2,"normal",8.75,11,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","EZ Bar Biceps Curl",,"",0,"normal",30,12,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","EZ Bar Biceps Curl",,"",1,"normal",35,10,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","EZ Bar Biceps Curl",,"",2,"normal",40,8,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Triceps Pushdown (Chwyt Powyginany)",,"",0,"normal",35,12,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Triceps Pushdown (Chwyt Powyginany)",,"",1,"normal",40,10,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Triceps Pushdown (Chwyt Powyginany)",,"",2,"normal",45,8,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Hammer Curl (Dumbbell)",,"",0,"normal",15,10,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Hammer Curl (Dumbbell)",,"",1,"normal",15,12,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Overhead Triceps Extension (Cable)",,"",0,"normal",25,9,,,
"Szybkie ramiona","11 Sep 2026, 18:50","11 Sep 2026, 19:51","","Overhead Triceps Extension (Cable)",,"",1,"normal",25,9,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Feet Up Bench Press (Barbell)",,"",0,"normal",92,9,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Feet Up Bench Press (Barbell)",,"",1,"normal",94.5,7,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Feet Up Bench Press (Barbell)",,"",2,"failure",97,4,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",106.5,11,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Lat Pulldown - Close Grip (Cable)",,"",1,"normal",110,9,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Lat Pulldown - Close Grip (Cable)",,"",2,"normal",113.5,7,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Lat Pulldown - Close Grip (Cable)",,"",3,"failure",87,12,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Incline Chest Press (Machine)",,"",0,"normal",115,8,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Incline Chest Press (Machine)",,"",1,"normal",117.5,7,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Incline Chest Press (Machine)",,"",2,"normal",120,6,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Incline Chest Press (Machine)",,"",3,"failure",92,12,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Iso-Lateral High Row (Machine)",,"",0,"normal",157.5,10,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Iso-Lateral High Row (Machine)",,"",1,"normal",167.5,8,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Iso-Lateral High Row (Machine)",,"",2,"failure",127.5,15,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Butterfly (Pec Deck)",,"",0,"normal",117,10,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Butterfly (Pec Deck)",,"",1,"normal",119.5,8,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Butterfly (Pec Deck)",,"",2,"failure",90,11,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Pullover (Machine)",,"",0,"normal",117.5,12,,,
"Czwartek - Góra - Hiperchujnia","10 Sep 2026, 18:35","10 Sep 2026, 20:29","","Pullover (Machine)",,"",1,"normal",122.5,9,,,
